Question,Option1,Option2,Option3,Option4,Answer,Fact
Computer Courses,,,,,,
,ADCA,,,,,
,,Fundamental,,,,15
दुनिया का सबसे पहला गणना करने वाला यंत्र (Calculating Device) कौन-सा था?,पास्कलाइन,अबेकस (Abacus),एनालिटिकल इंजन,डिफरेंस इंजन,2,"अबेकस (Abacus) को दुनिया का पहला गणना यंत्र माना जाता है, जिसका आविष्कार चीन में लगभग 3000 साल पहले हुआ था।"
पास्कलाइन (Pascaline) का आविष्कार किसने किया था?,चार्ल्स बैबेज,ब्लेज़ पास्कल (Blaise Pascal),जॉन नेपियर,हरमन होलेरिथ,2,"ब्लेज़ पास्कल ने 1642 में 'पास्कलाइन' नामक पहली मैकेनिकल एडिंग मशीन बनाई थी, जो केवल जोड़ और घटाव कर सकती थी।"
पंच कार्ड (Punch Card) का आविष्कार किसने किया था?,हरमन होलेरिथ (Herman Hollerith),चार्ल्स बैबेज,ब्लेज़ पास्कल,टिम बर्नर्स ली,1,हरमन होलेरिथ ने डेटा स्टोर करने के लिए पंच कार्ड का आविष्कार किया था। बाद में उन्होंने ही IBM कंपनी की नींव रखी थी।
इनमें से कौन-सा एक माइक्रो कंप्यूटर (Micro Computer) का उदाहरण है?,डेस्कटॉप PC,लैपटॉप,स्मार्टफोन,उपर्युक्त सभी,4,"डेस्कटॉप, लैपटॉप, पामटॉप और स्मार्टफोन सभी माइक्रो कंप्यूटर की श्रेणी में आते हैं क्योंकि इनमें माइक्रोप्रोसेसर लगा होता है।"
पेट्रोल पंप पर तेल मापने या वाहनों की स्पीड मापने के लिए किस कंप्यूटर का उपयोग होता है?,डिजिटल कंप्यूटर,एनालॉग कंप्यूटर (Analog Computer),हाइब्रिड कंप्यूटर,सुपर कंप्यूटर,2,"एनालॉग कंप्यूटर का उपयोग भौतिक मात्राओं (जैसे- दाब, तापमान, लंबाई, गति) को लगातार मापने के लिए किया जाता है।"
,,Fundamental of Computer Lv. 1,,,,15
अस्पतालों में ECG मशीन या डायलिसिस मशीन किस प्रकार के कंप्यूटर का उदाहरण है?,डिजिटल कंप्यूटर,एनालॉग कंप्यूटर,हाइब्रिड कंप्यूटर (Hybrid Computer),मेनफ्रेम कंप्यूटर,3,हाइब्रिड कंप्यूटर में एनालॉग और डिजिटल दोनों के गुण होते हैं। यह पहले भौतिक डेटा (जैसे हार्टबीट) को मापता है और फिर उसे डिजिटल अंकों में दिखाता है।
कंप्यूटर की पहली पीढ़ी में किस प्रोग्रामिंग भाषा का उपयोग किया गया था?,मशीनी भाषा (Machine Language),असेंबली भाषा,C++,जावा (Java),1,"पहली पीढ़ी के कंप्यूटर केवल 0 और 1 (बाइनरी) पर आधारित 'मशीनी भाषा' समझते थे, जिसे इंसानों के लिए लिखना बहुत कठिन था।"
हाई-लेवल लैंग्वेज को मशीन लैंग्वेज में लाइन-बाय-लाइन (Line by line) कौन बदलता है?,कंपाइलर,इंटरप्रेटर (Interpreter),असेंबलर,ऑपरेटिंग सिस्टम,2,"इंटरप्रेटर पूरे प्रोग्राम को एक-एक लाइन करके ट्रांसलेट करता है, जबकि कंपाइलर (Compiler) पूरे प्रोग्राम को एक ही बार में बदल देता है।"
"ऑपरेटिंग सिस्टम (जैसे- Windows, Linux) किस प्रकार का सॉफ्टवेयर है?",एप्लीकेशन सॉफ्टवेयर,सिस्टम सॉफ्टवेयर (System Software),यूटिलिटी सॉफ्टवेयर,एंटीवायरस,2,सिस्टम सॉफ्टवेयर कंप्यूटर के हार्डवेयर को कंट्रोल और मैनेज करते हैं। इनके बिना कंप्यूटर चालू ही नहीं हो सकता।
"MS Word, Excel, PowerPoint और Tally किस प्रकार के सॉफ्टवेयर हैं?",सिस्टम सॉफ्टवेयर,यूटिलिटी सॉफ्टवेयर,एप्लीकेशन सॉफ्टवेयर (Application Software),ओपन सोर्स सॉफ्टवेयर,3,"एप्लीकेशन सॉफ्टवेयर (Apps) किसी विशेष काम को करने के लिए बनाए जाते हैं, जिन पर यूज़र काम करते हैं।"
कंप्यूटर वायरस (Virus) का फुल फॉर्म क्या है?,Very Important Record Under Search,Vital Information Resources Under Siege,Video Information Record Under System,Virtual Information Resource Under Siege,2,VIRUS (Vital Information Resources Under Siege) एक ऐसा प्रोग्राम होता है जो बिना अनुमति के कंप्यूटर में घुसकर फाइलों को नुकसान पहुँचाता है।
दुनिया का सबसे पहला कंप्यूटर वायरस कौन-सा था?,Melissa,ILOVEYOU,Creeper (क्रीपर),Trojan Horse,3,"Creeper' दुनिया का पहला कंप्यूटर वायरस था, जिसे 1971 में बॉब थॉमस ने ARPANET पर बनाया था।"
EEPROM का पूरा नाम क्या है?,Electric Erasable Program Read Only Memory,Electrically Erasable Programmable Read Only Memory,Electronic Erasable Programmable Read Only Memory,Easy Erasable Programmable Read Only Memory,2,EEPROM एक प्रकार की ROM है जिसमें स्टोर डेटा को इलेक्ट्रिक सिग्नल (विद्युत तरंगों) की मदद से मिटाया और दोबारा लिखा जा सकता है।
पेन ड्राइव (Pen Drive) और मेमोरी कार्ड में किस प्रकार की मेमोरी का उपयोग होता है?,SRAM,DRAM,फ्लैश मेमोरी (Flash Memory),ROM,3,"पेन ड्राइव और SD कार्ड में 'फ्लैश मेमोरी' का इस्तेमाल होता है, जो कि EEPROM का ही एक अपग्रेडेड और तेज़ रूप है।"
HDD का फुल फॉर्म क्या है?,Hard Disk Drive,High Disk Drive,Heavy Disk Drive,Hard Data Drive,1,HDD (Hard Disk Drive) कंप्यूटर का मुख्य सेकेंडरी स्टोरेज डिवाइस होता है जिसमें एक घूमने वाली मैग्नेटिक डिस्क लगी होती है।
आजकल कंप्यूटर को तेज़ बनाने के लिए HDD की जगह किसका इस्तेमाल सबसे ज्यादा हो रहा है?,FDD,SSD (Solid State Drive),CD-ROM,Magnetic Tape,2,"SSD (Solid State Drive) में कोई घूमने वाला पार्ट (Motor) नहीं होता, यह फ्लैश मेमोरी पर काम करती है, इसलिए यह HDD से कई गुना तेज़ होती है।"
ट्रैकबॉल (Trackball) किस प्रकार का डिवाइस है?,आउटपुट डिवाइस,पॉइंटिंग / इनपुट डिवाइस,स्टोरेज डिवाइस,प्रोसेसिंग डिवाइस,2,"ट्रैकबॉल एक इनपुट डिवाइस है जो बिल्कुल माउस की तरह काम करता है, बस इसमें ऊपर एक गेंद (Ball) लगी होती है जिसे उँगलियों से घुमाया जाता है।"
कंप्यूटर में गेम खेलने के लिए सबसे ज्यादा किस इनपुट डिवाइस का उपयोग किया जाता है?,माउस,कीबोर्ड,जॉयस्टिक (Joystick),स्कैनर,3,जॉयस्टिक (Joystick) एक स्टिक की तरह होता है जिसे कार के गियर की तरह चारों दिशाओं में घुमाकर गेम को आसानी से कंट्रोल किया जाता है।
सुपरमार्केट या मॉल में प्रोडक्ट के पैकेट पर छपी काली पट्टियों को पढ़ने के लिए किसका उपयोग होता है?,OMR,MICR,BCR (Barcode Reader),OCR,3,"BCR (Barcode Reader) लेज़र लाइट की मदद से बारकोड में छिपी जानकारी (जैसे- कीमत, प्रोडक्ट का नाम) को कंप्यूटर में इनपुट करता है।"
QR Code (क्यूआर कोड) का फुल फॉर्म क्या है?,Quick Read Code,Quick Response Code,Quality Response Code,Quick Result Code,2,"QR Code (Quick Response Code) टू-डायमेंशनल (2D) बारकोड होता है, जो कैमरे से स्कैन करते ही तुरंत रिस्पॉन्स (जानकारी) देता है।"
VDU (Visual Display Unit) किस डिवाइस का दूसरा नाम है?,प्रिंटर,मॉनिटर (Monitor),प्रोजेक्टर,प्लॉटर,2,मॉनिटर को VDU (विजुअल डिस्प्ले यूनिट) भी कहा जाता है क्योंकि यह कंप्यूटर में चल रहे हर काम को विजुअल (दृष्टिगत) रूप में दिखाता है।
मॉनिटर की पिक्चर क्वालिटी किस पर निर्भर करती है?,रेज़ोल्यूशन (Resolution),रिफ्रेश रेट,डॉट पिच,उपर्युक्त सभी,4,"मॉनिटर पर चित्र छोटे-छोटे बिंदुओं (Pixels) से मिलकर बनते हैं। पिक्सेल जितने पास-पास होंगे, रेज़ोल्यूशन उतना ही अच्छा होगा।"
प्रिंटर की प्रिंटिंग क्वालिटी (Resolution) को किसमें मापा जाता है?,Hertz (Hz),DPI (Dots Per Inch),PPM (Pages Per Minute),LPM (Lines Per Minute),2,"प्रिंटर की गुणवत्ता DPI (Dots Per Inch) में मापी जाती है। 1 इंच में जितने ज्यादा डॉट्स होंगे, प्रिंट उतना ही साफ होगा।"
इनमें से कौन-सा एक इम्पैक्ट (Impact) प्रिंटर का उदाहरण है?,लेज़र प्रिंटर,इंकजेट प्रिंटर,डॉट मैट्रिक्स प्रिंटर (Dot Matrix Printer),थर्मल प्रिंटर,3,डॉट मैट्रिक्स प्रिंटर टाइपराइटर की तरह कागज़ पर रिबन से चोट (Impact) करके प्रिंट करता है। यह आवाज़ बहुत करता है।
